,inflation
2010-01,-14.314750176150277
2010-02,-20.33431883162725
2010-03,-14.089803215889557
2010-04,-9.758096030000566
2010-05,-9.903756321559861
2010-06,-18.561771842805165
2010-07,-22.595597373498617
2010-08,-21.972459414302357
2010-09,-16.513459912724358
2010-10,-15.782810835476692
2010-11,-5.6354482253247
2010-12,6.195390372863116
2011-01,4.9459378342422315
2011-02,7.597829094617431
2011-03,0.247507591477806
2011-04,-1.734918715968142
2011-05,-4.842983388757752
2011-06,-7.271854382528225
2011-07,8.119266391954547
2011-08,-5.244365519537823
2011-09,-5.534921314456753
2011-10,-2.3545523452935164
2011-11,-3.1833611647990754
2011-12,-8.218851226996822
2012-01,-7.913204617324194
2012-02,-7.571470931432993
2012-03,-6.806648158137728
2012-04,-3.31197235971975
2012-05,6.500656950462035
2012-06,15.151846165527491
2012-07,11.644148829152837
2012-08,18.03346872251973
2012-09,20.185208654938457
2012-10,22.344753138912637
2012-11,20.12587827334907
2012-12,18.631157682120026
2013-01,17.39160653387684
2013-02,17.559849223459004
2013-03,19.123552267722655
2013-04,19.489602335581758
2013-05,7.878285648413617
2013-06,3.8492942275024893
2013-07,2.7787229461002863
2013-08,4.501926563999577
2013-09,2.962719998701486
2013-10,0.9127542033064433
2013-11,-0.2661163914298701
2013-12,-2.678368098661751
2014-01,7.073838258883009
2014-02,8.699608185687737
2014-03,9.929129843836256
2014-04,9.648955884160195
2014-05,10.474902364727814
2014-06,10.295518753890509
2014-07,7.882639965759995
2014-08,7.9310491644499805
2014-09,6.840355104720681
2014-10,5.631050285444708
2014-11,6.297433893979425
2014-12,10.186174559936237
2015-01,3.782788634003726
2015-02,-5.146158259927148
2015-03,-7.030389327828399
2015-04,-11.07309675407953
2015-05,-3.8977996484617172
2015-06,-10.149035792502612
2015-07,-12.245127340530992
2015-08,-11.729205596771598
2015-09,-9.892507928440644
2015-10,-6.123800279524609
2015-11,-5.015620245545907
2015-12,-7.118207346988076
2016-01,-14.374170077964138
2016-02,-6.987649119334044
2016-03,-15.51130379375659
2016-04,-14.208339194923578
2016-05,-16.376753654598858
2016-06,-4.585565200669714
2016-07,-1.9730542736130823
2016-08,-8.965870696730878
2016-09,-18.710030861752713
2016-10,-27.43366763670876
2016-11,-28.696707595925776
2016-12,-28.19589775156113
2017-01,-22.573431358912618
2017-02,-18.676418821608518
2017-03,-13.045289094652151
2017-04,-11.54071982528717
2017-05,-10.385608193338385
2017-06,-14.915229103866755
2017-07,-15.369470647529885
2017-08,-5.9500933203279525
2017-09,-0.03789469010551727
2017-10,3.216427933174386
2017-11,2.4850879150653253
2017-12,-0.20572310983643916
2018-01,1.7326352390518358
2018-02,3.4012247073887623
2018-03,10.428310121926327
2018-04,11.295389285446486
2018-05,6.133617225196019
2018-06,11.00756051171346
2018-07,13.542594163082073
2018-08,10.597072181728374
2018-09,9.352504578391468
2018-10,14.487278578446654
2018-11,16.323465028319823
2018-12,19.43594590968456
2019-01,19.67014847215296
2019-02,8.491791594855062
2019-03,-7.469949963700473
2019-04,-13.077114246520193
2019-05,-10.946227519543598
2019-06,-21.70857400813139
2019-07,-17.09252250088658
2019-08,-25.733881631216555
2019-09,-25.336043575572194
2019-10,-54.14810805292083
2019-11,-34.95278136409946
2019-12,-41.738838740416554
2020-01,-58.99186479131889
2020-02,-50.81050025313999
2020-03,-28.380386037461452
2020-04,-23.22132521491358
2020-05,-17.808108371653276
2020-06,-12.801739692131873
2020-07,-13.832102301821722
2020-08,-3.904942832215406
2020-09,1.6332588292979207
2020-10,13.176157122499049
2020-11,3.8821628928242538
2020-12,3.519480783737237
2021-01,13.852064549956124
2021-02,19.978438921030477
2021-03,15.87331733773437
2021-04,22.429657390552983
2021-05,32.187585108756664
2021-06,44.99869205003589
2021-07,46.07407962822587
2021-08,51.40331141290585
2021-09,46.382187487837314
2021-10,30.601412457651847
2021-11,39.790997262189215
2021-12,41.840390683302914
2022-01,26.752327612827138
2022-02,26.53000995623303
2022-03,22.81341344336454
2022-04,17.761893828299584
2022-05,13.643966768584313
2022-06,2.6613047937195304
2022-07,1.8453860767482588
2022-08,-3.8252306922700434
2022-09,-14.494494916114903
2022-10,0.5675295695771716
2022-11,-0.37664504777088403
2022-12,0.08829270746792695
2023-01,6.353848352095262
2023-02,-2.1952305837043022
2023-03,-3.1301248155842103
2023-04,-1.465612113146336
2023-05,-0.6896723236293276
2023-06,-1.952096127474956
2023-07,-3.095922565056396
2023-08,-5.108307520713225
2023-09,-4.906100916311195
2023-10,-0.8954933347140148
2023-11,0.3756783975878548
2023-12,-1.5820960095741414
2024-01,-6.959792011357656
2024-02,-8.000735309530496
2024-03,-10.952180091740583
2024-04,-10.812794052508151
2024-05,-16.646069196227266
2024-06,-16.83966819025919
2024-07,-12.806143752797823
